19,"K.CG.1","Identify similarities and differences between people and discuss ways to protect and respect all people by practicing civic dispositions. This indicator was developed to encourage inquiry into diversity within the classroom and community. Further, inquiry promotes identifying civic dispositions (e.g., compassion, cooperation, empathy, honesty, and respect) that are already exhibited in the classroom setting and can be used for problem solving in the future. "
20,"K.CG.2","Explain the purpose of rules and laws, and discuss consequences of breaking them. Civics & Government This indicator was developed to encourage inquiry into identifying rules and laws in the classroom, home, and the community and how these rules are necessary for safety. "
21,"K.CG.3","Establish and practice classroom rules and procedures for listening and responding appropriately to others. This indicator was developed to encourage inquiry into identifying civic dispositions (e.g., compassion, cooperation, empathy, honesty, and respect). Further, inquiry promotes the discussion of rules already in place, the creation of rules, and habits needed for civil discourse. "
22,"K.CG.4","Collaborate with others to identify a classroom or school issue and propose a resolution using civic dispositions. This indicator was developed to encourage inquiry into identifying real world classroom or school problems and practice a hands-on approach when finding solutions. This practice furthers inquiry through civic dispositions necessary when working with others. Grade 1 Life in South Carolina Students in the primary grades (kindergarten–second grade) are building the foundation of social studies skills and themes that will follow them through grade 12 to prepare them for college and career. "
23,"Standard 1","Utilize the college and career skills of a historian to study continuity and change over time in South Carolina. "
24,"Understanding","The similarities and differences within South Carolina, and the exploration of associated patterns between them, allow students to develop the foundational understanding that history involves continuities and changes in people from all backgrounds, and that patterns of history develop over time. "
25,"1.H.1","Identify similarities and differences between one’s community and other South Carolina communities over time. This indicator was developed to encourage inquiry into the defining characteristics of a students’ own community. Further, inquiry should include the finding of similarities and differences among communities throughout South Carolina to build comparison skills for historical inquiry. "
26,"1.H.2","Analyze a current event in South Carolina and make predictions about possible outcomes. This indicator was developed to encourage inquiry into the causes and effects of current events specific to South Carolina, such as a recent weather experience or a new law. This promotes further inquiry into how events have affected their own lives and community. "
27,"1.H.3","Evaluate different sources of evidence used in historical inquiry, such as art, artifacts, digital sources, graphs, maps, oral histories, photographs/images, and texts. This indicator was developed to encourage inquiry into evaluating and utilizing primary sources as sources of knowledge to learn about South Carolina. "
28,"Standard 2","Utilize the college and career skills of a geographer to apply map skills and draw conclusions about places in South Carolina and South Carolina’s place in the surrounding region. "
29,"Understanding","By studying South Carolina’s diverse physical geography and the state’s location relative to other places in the United States, students begin to develop an understanding that humans interact with the various features of Earth and consequently create different cultural, economic, and historical landscapes. "
30,"1.G.1","Identify various types of maps, map features, and the purpose of maps. This indicator was developed to encourage inquiry into a variety of maps (e.g., maps of malls, roads, schools, zoos, and the world) and the purpose of different types of maps. Further, inquiry is made into map features (e.g., map title, map key/legend, and compass rose) and how they are tools in geographic inquiry. "
31,"1.G.2","Identify and describe the geographic location of South Carolina in relation to the rest of the United States through the use of various maps and geographic tools. This indicator was developed to encourage inquiry into a variety of sources used to investigate and compare the location of South Carolina to the rest of the United States. "
32,"1.G.3","Identify and differentiate between rural, suburban, and urban areas within South Carolina. This indicator was developed to encourage inquiry into the characteristics of urban, rural, and suburban areas within South Carolina. "
33,"1.G.4","Describe and compare various landforms within South Carolina through the use of primary and secondary sources. This indicator was developed to encourage inquiry into a variety of sources used to investigate and compare different landforms (e.g., coastlines, lakes, mountains, and rivers) within South Carolina. "
34,"Standard 3","Utilize the college and career skills of an economist to understand how economic decisions affect South Carolinians. "
35,"Understanding","By exploring how the availability of resources influences economic conditions in South Carolina, students begin to understand how resources impact the personal economic decisions that individuals make. "
36,"1.E.1","Compare goods and services in the school, community, and state. This indicator was designed to encourage inquiry into the differences between goods and services. The indicator also encourages inquiry into the identification of goods as items for purchase (e.g. school lunch) and services as actions that benefit others. "
37,"1.E.2","Explain how goods and services change over time. This indicator was designed to encourage inquiry into the goods and services relevant to one’s own life, such as cell phones and computers, and how their relevance is affected by an individual’s changing wants and need. (This indicator was also designed to promote inquiry into the relationship wants and needs and their relationship to goods and services...) "
38,"1.E.3","Research and describe how goods and services differ in rural, suburban, and urban areas in South Carolina. This indicator was designed to encourage inquiry into how goods and services vary in different communities. This indicator was also designed to promote inquiry into the identification of the goods and services available in their community and compare these to other South Carolina communities, such as farming in rural communities and shipping in coastal communities. "
39,"1.E.4","Identify an economic want or need at the local or state level and create a solution in the form of a good or a service. This indicator was developed to encourage inquiry into how economic decisions influence everyday life. Inquiry is also encouraged through finding achievable ways to support one’s community, such as making posters to promote recycling. "
40,"Standard 4","Utilize the college and career skills of a political scientist to understand and display civic dispositions about contemporary South Carolina. "
41,"Understanding","Responsible citizenship requires individuals of diverse cultural backgrounds to employ dispositions that promote strong relationships. "
42,"1.CG.1","Demonstrate how civic dispositions encourage citizens with diverse Civics & beliefs and backgrounds to work together for a common goal. Government This indicator was developed to encourage inquiry into working with others with stories different from their own. This indicator was also developed to encourage inquiry into the identification of examples of this behavior that are already occurring and how to use civic dispositions to better accomplish a task. "
43,"1.CG.2","Describe the basic purpose, structure, and functions of South Carolina’s government at both the local and state level. This indicator was developed to encourage inquiry into the hierarchy of local and state government, how they work together, and the basic responsibilities they have for the people of South Carolina. "
44,"1.CG.3","Demonstrate ways to display active and responsible citizenship in local and state government. This indicator was designed to promote inquiry into how to be an active citizen. The indicator was also developed to encourage inquiry through examples of citizenship within one’s school, the community, and at the state level. "
45,"1.CG.4","Collaborate with others to identify, resolve, and communicate resolutions on a local or state issue. This indicator was designed to encourage inquiry into community and state issues. The indicator was also designed to promote inquiry into state issues by using one’s own experiences, connecting with other classrooms across the state, or viewing appropriate news sources. Grade 2 Life in the United States Students in the primary grades (kindergarten–second grade) are building the foundation of social studies skills and themes that will follow them through grade 12 to prepare them for college and career. "
46,"Standard 1","Utilize the college and career skills of a historian to study the continuity and changes over time in the United States. "
47,"Understanding","Students will employ the historical thinking skills of comparison, cause and effect, continuities and changes, and sourcing to study the diversity of the United States. "
48,"2.H.1","Identify and compare significant historical events, moments, and symbols in U.S. history. This indicator was developed to encourage inquiry into historical events, including figures, symbols, and observances, that have been important to the U.S. over time as well as how they impact us. "
49,"2.H.2","Examine current or past events from U.S. history, and discuss the possible causes and effects. This indicator was developed to encourage inquiry into multiple causes and effects of events in U.S. history. This indicator also promotes History inquiry into how to practice appropriate group discussion and civic dispositions, especially related to citizens’ roles in current events. "
50,"2.H.3","Analyze patterns of continuities and changes within U.S. history through the use of a variety of sources, including graphic organizers, maps, oral histories, photographs/images, texts, and timelines. This indicator was developed to promote inquiry into changes that occur over various periods of time and recognize patterns in history. The indicator was also developed to encourage the exposure to resources, such as charts, graphs, timelines, and tables. "
51,"2.H.4","Evaluate different forms of evidence used in historical inquiry and determine their validity. This indicator was developed to encourage inquiry into how to critically evaluate sources for validity. The indicator was also developed to promote inquiry into how to ensure data is accurate, citable, complete, credible, current, and objective. "
52,"Standard 2","Utilize the college and career skills of a geographer to apply map Geography skills and draw conclusions about the United States. "
53,"Understanding","The availability of resources and the physical features associated with them vary in different locations around the U. "
54,"2.G.1","Identify the geographic location of the U. "
55,"2.G.2","Describe and compare various landforms over time within the U.S. through the use of primary and secondary sources. This indicator was developed to encourage inquiry into using historic images, maps, narratives, texts, or video, to investigate and compare different landforms around the U.S. "
56,"2.G.3","Explain how the distribution of human features, physical features, and natural resources within the U. S changes over time and impacts economic activity. This indicator was developed to encourage inquiry into how rivers, lakes, mountains, and other land features affect economic activity. This indicator also prompts students to explore how different geographic areas support different activities in different times due the availability of resources. "
57,"Standard 3","Utilize the college and career skills of an economist to understand how economic decisions affect citizenship within the United States. "
58,"Understanding","Creating and utilizing budgets are a foundation to becoming financially literate. Students will analyze components of budgeting, including wants and needs, to develop foundational financial literacy skills. "
59,"2.E.1","Examine the purpose of currency and how income, savings, and Economics spending are parts of a budget. This indicator was developed to encourage inquiry into the purpose of currency and how currency is related to economic activity. The indicator was also designed to promote inquiry into decision-making concerning spending and saving money. "
60,"2.E.2","Explain how budgets change as wants and needs or the availability of goods and services change. This indicator was developed to encourage inquiry into economic decision making, specifically how choices are made based on both wants and needs and the availability of goods and services. "
61,"2.E.3","Create a simple budget, and articulate the priorities using economic terms such as expenses, income, and savings. This indicator was developed to encourage inquiry into different factors that must be considered when creating a budget. "
62,"2.E.4","Interpret data to show how geographic location and available resources impact economic decision-making. This indicator was developed to encourage inquiry into how location is related to resources and economics as resources change temporally in addition to vary spatially. "
63,"Standard 4","Responsible citizenship requires individuals of diverse cultural backgrounds to employ dispositions that promote strong relationships to develop solutions to communal problems. "
64,"Understanding","Students will develop the skills necessary to address shared problems in a respectful and productive manner. "
65,"2.CG.1","Identify cultural and ethnic groups in the U. "
66,"2.CG.2","Use primary and secondary sources to research a national figure who demonstrated civic dispositions. This indicator was developed to encourage inquiry into past and present national figures who demonstrated civic dispositions (i.e., compassion, cooperation, empathy, honesty, and respect) by exploring a variety of sources, such as children’s literature, historic documents, photographs and images, or news sources. "
67,"2.CG.3","Analyze how rights are granted to U. "
68,"2.CG.4","Use evidence to propose and communicate a resolution to a national issue. This indicator was developed to encourage inquiry into identifying and proposing solutions to problems at the national level. Grade 3 World Geography In grade three, students will explore the spatial distribution of Earth’s physical and human features and how these features interact to make Earth their home. Earth’s natural features and resources have both presented opportunities and constraints for how and where people have lived on Earth, in turn influencing the development of different cultural expressions. A geographic and skills-based study of the physical and human characteristics of places will bridge the skills practiced in the primary grades to the subsequent content and thinking skills of later grades. Instruction should utilize the specific geographic thinking skills and themes developed for grade three. The progression of the developmentally appropriate geographic thinking skills begins in kindergarten and builds with each year of geography instruction. These geographical thinking skills are aligned with the Profile of the South Carolina Graduate of world-class knowledge, world-class skills, and life and career characteristics. These skills have been deconstructed to aid in the scaffolding of student thinking and are not to be taught in isolation. The social studies grade-level standards can be categorized into content- and discipline-specific themes. These themes allow for connections to be made between content, the ability to teach thematically, and to support project or problem-based learning. "
69,"Standard 1","Use maps and globes to categorize places and regions by their human and physical conditions. "
70,"Understanding","Global citizenship begins with the initial understanding of Earth’s major features and how geographic information is used to learn about those features. "
71,"3.1.1.AG","Utilize an alphanumeric grid to locate the continents and oceans. This indicator prompts students to inquire about the location of major physical features around the world by utilizing a basic grid (i.e., letters on one axis, numbers on the other) as preparation for learning latitude and longitude. "
72,"3.1.2.AG","Locate the world’s four hemispheres (i.e., northern, southern, Map Skills and eastern, and western) by using the major components of Earth’s latitude and longitude (i.e., the Equator, the Prime Meridian, Features lines of latitude (i.e., parallels), lines of longitude (i.e., meridians), and the International Date Line). This indicator prompts students to inquire about how the world is divided for mapping purposes when using latitude and longitude. "
73,"3.1.3.PR","Identify the spatial hierarchy of political and physical geographic features. This indicator prompts students to inquire about spatial hierarchies (i.e., scale) to understand connections between Earth’s systems. Political features include cities, states, and countries. Physical features include forests, mountains, oceans, and rivers. "
74,"Standard 2","Demonstrate an understanding of Earth’s physical features and ecosystems that affect human activities. "
75,"Understanding","Earth’s diverse physical landscape provides the opportunity to discover how humans live and interact in various areas Environment and over time. Earth’s physical systems influenced human migration and People lifestyles and led to the creation of a diverse world. "
76,"3.2.1.ER","Recognize and explain how physical features are distributed around the world. This indicator prompts students to inquire about the distribution of landforms, climates, and biomes around the world. "
77,"3.2.2.ER","Identify and analyze the ways people interact with the physical environment in different regions of the state, the country, and the world. This indicator prompts students to inquire about a variety of geographic landforms, water bodies, and climate patterns around the world and how humans interact with them, including population distribution and settlement patterns. "
78,"3.2.3.ER","Identify spatial variations in climates around the world and recognize the relationship between climate and human activities. This indicator prompts students to inquire about how climate affects decision-making regarding such factors as food, clothing, and shelter around the world. "
79,"Standard 3","Demonstrate an understanding of the relationship between Earth’s environmental hazards and human activities. "
80,"Understanding","Earth’s physical environment can have profound effects on its inhabitants. Geographic information about physical systems can be used to create a related safety plan in the event of a natural disaster. "
81,"3.3.1.ER","Identify the range of natural hazards facing people and explain how some populations are more vulnerable than others. Environment and People This indicator prompts students to consider the various threats to humans including earthquakes, floods, hurricanes, tornadoes, volcanoes, and wildfires, and how human actions (e.g., building in a floodplain) can increase exposure and loss. "
82,"3.3.2.ER","Use maps and other sources of geographic information to gather evidence and draw conclusions about patterns of natural disasters around the world. This indicator prompts students to inquire about the geographic locations and patterns of natural disasters around the world by using maps and other sources of geographic information. Location and pattern connections may include how earthquakes occur along fault lines and hurricanes form over warm water near the Equator. "
83,"3.3.3.AG","Develop a natural disaster safety plan for a community. This indicator prompts students to inquire about natural disasters that typically occur in a community and then develop a practical plan to protect the community. "
84,"Standard 4","Demonstrate an understanding of varied human cultural and economic characteristics across Earth’s surface. "
85,"Understanding","The spatial distribution of Earth’s physical features and natural resources influences the development of various cultures and livelihoods. "
86,"3.4.1.PR","Investigate the cultural characteristics of places and regions around the world. This indicator prompts students to inquire about how geography influences cultural characteristics around the world. Culture may be expressed by architecture, arts and literature, clothing, cuisine, language, and religion, among other items. "
87,"3.4.2.HS","Investigate the economic and land use characteristics of Economy places and regions around the world. This indicator prompts students to inquire about how geography influences economic activities around the world. Economic livelihoods may be expressed by agriculture (subsistence, commercial), industry, and services. "
88,"3.4.3.AG","Research and create a geographic representation of a contemporary or historic group of people to communicate findings about their cultural characteristics and livelihoods. This indicator prompts students to inquire about different ways to represent the distribution of various cultural characteristics, like belief systems, clothing, food, and shelter, and the varied ways in which people make a living in different world regions. Geographic representations may include charts, graphs, maps, tables, or other visuals. "
89,"Standard 5","Demonstrate an understanding of how and why humans have explored and migrated across Earth. "
90,"Understanding","Earth has been continuously explored for its resources, a process that has resulted in cultural contact with both positive and negative consequences. Culture groups across various world regions continue to interact through economic, social, political, and environmentally-driven migration. "
91,"3.5.1.HS","Investigate and explain the economic, social, and political motivations behind human exploration of Earth. This indicator prompts students to examine why humans have explored and occupied different world regions, including reasons such as resource exploration, the desire to spread religion, and empire-building. "
92,"3.5.2.AG","Use maps and other geographic representations to identify exploration patterns throughout Earth history. This indicator allows students to work with maps and Exploration and mapping tools to show where exploration, as described in the Migration previous indicator, impacted various populations and cultures. "
93,"3.5.3.HS","Investigate and explain the economic, social, political, and environmental motivations behind human migration and how places can change as a result. This indicator prompts students to examine why humans have decided to migrate – voluntarily or involuntarily – to different world regions, including reasons related to work opportunities, social or political persecution, and changing environmental conditions. "
94,"3.5.4.AG","Use maps and other geographic representations to identify how migration patterns affect people and places. This indicator allows students to work with maps and mapping tools to show where migration, as described in the previous indicator, affects populations in both sending and receiving locations. Grade 4 United States & South Carolina Studies Part I Students study the history of the United States and South Carolina in grade four, beginning with the colonization of the United States and continuing through Reconstruction. South Carolina’s role is integrated into the study of the exploration of the United States. Students will explore how the United States and South Carolina cultivated common societies through the interaction among different groups of people, the colonization of North America, independence from Great Britain, founding principles, and the identity of a new nation. They will also investigate how cooperation and conflict among people brought about change, led to the expansion of boundaries and territories, a nation became divided in the Civil War, and how the nation and state dealt with the consequences of the Civil War which resulted in Reconstruction. Instruction should utilize the historical thinking skills and themes developed for grade four, several of which are being introduced to students for the first time. The progression of developmentally appropriate historical thinking skills begins in kindergarten and builds with each year of history instruction. These historical thinking skills are aligned with the Profile of the South Carolina Graduate of world-class knowledge, world-class skills, and life and career characteristics. Starting in grade four, students will have the opportunity to apply these skills with specific social studies content. The indicators of standard one represent the skills utilized by students in each grade level to further explore the content. These skills have been deconstructed to aid in the scaffolding of student thinking and are not to be taught in isolation. The Social Studies grade-level standards can be categorized into content- and discipline-specific themes. This allows for teacher flexibility when long-range planning. These themes allow for connections to be made between content when teaching chronologically, the ability to teach thematically rather than chronologically, and to support project- or problem-based learning. "
95,"Standard 1","Demonstrate an understanding of the settlement and colonization of North America, including South Carolina, between 1600–1730. "
96,"Understanding","The various cultures, establishments, and settlements of North American colonies were a result of interactions and contributions primarily of Native Americans, Europeans, and enslaved Africans. The British North America colonies each developed a unique culture connected to their economic, geographic, and political resources and beliefs. "
97,"4.1.CO","Compare the interactions among cultural groups as a result of European colonization. This indicator was developed to promote inquiry into how European colonization impacted the interaction among African, European, and Native American cultural groups. "
98,"4.1.CE","Identify the effects of changing economic systems on the diverse populations in British North America. This indicator was developed to promote inquiry into the effects of mercantilism and triangular trade on enslaved Africans, Colonization Native Americans, and European colonists in North America and the Caribbean. "
99,"4.1.P","Explain the development of political institutions and social characteristics that defined the British colonial regions. This indicator was written to promote inquiry into the unique development of ethnic, political, and religious identities in the New England, Mid-Atlantic, and Southern colonies. "
100,"4.1.CX","Contextualize the experience of Africans, Europeans, and Native Americans in South Carolina. This indicator was developed to promote inquiry into how South Carolina developed as a result of the relationship among various ethnic, political, and religious groups. "
101,"4.1.CC","Identify patterns of change and continuity in the development of economic systems in British North America. This indicator was written to promote inquiry into the role of mercantilism in the growth of agriculture, early industry, harbor development, shipping and trade, and slavery in the British colonies. "
102,"4.1.E","Analyze multiple perspectives on the economic, political, and social developments of British North America and South Carolina. "
103,"Standard 2","Demonstrate an understanding of the identity of a new nation, including the state of South Carolina between 1730-1800. "
104,"Understanding","Colonial revolt against British regulations and restrictions resulted in the creation of the United States as an independent nation comprised of individual states. Following the American Revolution, Americans developed a new form of government that embodied and contradicted the ideals for which they had fought and unified the new nation. "
105,"4.2.CO","Compare the roles of marginalized groups during the American Revolution. This indicator was designed to encourage inquiry into the economic, political, and social roles of colonial groups, to include free and enslaved people of African descent, Native Americans, and women, during the revolutionary period. "
106,"4.2.CE","Examine the economic and political motivations for colonists to A New declare independence from Great Britain. Nation This indicator was developed to encourage inquiry into the influence of taxation and regulation in the colonial independence movement leading to the Declaration of Independence and the beginning of the American Revolution. "
107,"4.2.P","Analyze the sequence of events that led to the establishment of the U. "
108,"4.2.CX","Contextualize South Carolina’s role in the development of the new nation. This indicator was developed to encourage inquiry into South Carolina’s participation in the American Revolution and the subsequent creation of a new government. "
109,"4.2.CC","Explain the continuities and changes in natural rights as seen from the French and Indian War to the creation of the Bill of Rights. This indicator was developed to encourage inquiry into how Americans understood and enumerated natural rights from the period of salutary neglect through the American Revolution and into the first decade of the republic. "
110,"4.2.E","Analyze multiple perspectives on the economic, political, and social developments of the new nation. "
111,"Standard 3","Demonstrate an understanding of the expansion and growth of South Carolina and the United States between 1800–1850. "
112,"Understanding","The new century saw the U. "
113,"4.3.CO","Compare the motivations for and reactions to various expeditions into the Western territories. This indicator was designed to encourage inquiry into the economic, political, and social reasons for Westward Expansion Expansion. It was also written to promote inquiry into how and various people living in the western territories responded to Sectionalism migration. "
114,"4.3.CE","Analyze the effects of government policies in promoting United States territorial expansion into the west. This indicator was developed to encourage inquiry into how government policy influenced Westward Expansion, including the purchase of the Louisiana Territory, policies towards Native Americans, the Mexican-American War, and support of railroad development. "
115,"4.3.P","Analyze the role of technology and the environmental impact during the period of Westward Expansion. This indicator was developed to encourage inquiry into the technological advancements that supported Westward Expansion and the subsequent impacts on the environment, including the role of precious metals, advances in mining technology, and the invention of advanced transportation and communication. "
116,"4.3.CX","Contextualize South Carolina’s role in the development of sectionalism during the antebellum period. This indicator was developed to encourage inquiry into how the debate surrounding the expansion of enslaved labor versus free labor influenced the development of sectionalism. This indicator was also developed to foster inquiry into the growth of the Abolitionist Movement leading up to the Civil War. "
117,"4.3.CC","Recognize patterns of continuity and change in the experiences of Native Americans and Spanish-speaking people as the U. "
118,"4.3.E","Analyze multiple perspectives of early westward expansion, including the addition of slave and free territories and states. "
119,"Standard 4","Demonstrate an understanding of economic, political, and social divisions during the United States Civil War, including the role of South Carolina between 1850–1870. "
120,"Understanding","Regional economic interests led to insurmountable political and social divisions during this time period. Sectionalism led the United States into a costly and devastating Civil War, which ultimately resulted in the preservation the United States of America. "
121,"4.4.CO","Compare the economic and political causes of the Civil War. This indicator was developed to encourage inquiry into how debates over slavery led to the Civil War. "
122,"4.4.CE","Explain the effects of military strategies utilized by the Union and the Confederacy. "
123,"4.4.P","Explain how emancipation was achieved as a result of civic participation. This indicator was developed to prompt inquiry into the role abolitionists played in influencing public opinion and urging policymakers to protect natural rights, which led to emancipation. "
124,"4.4.CX","Contextualize South Carolina’s experience during the Civil War. This indicator was developed to encourage inquiry into the relationship between the Civil War and the experiences of women, African Americans, and the planter class in South Carolina. "
125,"4.4.CC","Identify and evaluate the economic, political, and social changes experienced throughout the Civil War. This indicator was developed to encourage inquiry into the continuities and changes experienced by Americans of various genders, positions, races, and social status during the Civil War. "
126,"4.4.E","Analyze the economic, political, and social divisions during the Civil War. "
127,"Standard 5","Demonstrate an understanding of the contributions different groups made to impact the economic, political, and social developments during Reconstruction of the United States and South Carolina in the period of 1860– 1880. "
128,"Understanding","The United States faced multiple challenges in the planning and implementation of laws designed to reshape the nation following the Civil War. Economic, political, and social forces provided unique regional Rebuilding successes and failures, which ultimately resulted in a compromise to demilitarize the southern states leading to a turbulent reaction to Reconstruction and the design of new laws to reverse many of the advances achieved by post- Civil War legislation. "
129,"4.5.CO","Compare the roles of various groups on Reconstruction. This indicator was developed to encourage inquiry into the interactions between various groups to include northerners and southerners, such as African Americans, white landowners, politicians, and business leaders during Reconstruction. "
130,"4.5.CE","Analyze the impact of federal legislation on the South during Reconstruction. This indicator was developed to encourage inquiry into how new federal laws impacted the South during Reconstruction, to include the effects of the 13th, 14th, and 15th Amendments. "
131,"4.5.P","Summarize Reconstruction as a turning point in American history. This indicator was developed to encourage inquiry into founding principles as viewed through this period of federal government involvement, the development and realignment of a new labor system not based on a system of slavery, and the significant political realignment of the South. "
132,"4.5.CX","Contextualize the economic, labor, political, and social conditions in South Carolina during the period of Reconstruction. This indicator was developed to promote inquiry into South Carolina’s unique experience, to include the Port Royal Experiment and the adoption of the state Constitution of 1868. "
133,"4.5.CC","Identify and evaluate the impact of economic, political, and social events on the African American experience throughout Reconstruction. This indicator was developed to encourage inquiry into how Reconstruction resulted in the foundation for the struggle for civil rights. This indicator was also developed to foster inquiry into Reconstruction Era policies such as Constitutional amendments, black codes, and Jim Crow Laws. "
134,"4.5.E","Analyze multiple perspectives of the economic, political, and social effects of Reconstruction on different populations in the South and in other regions of the U. "
135,"Standard 1","Demonstrate an understanding of the economic, political, and social effects of expansion and industrialization on the United States and South Carolina between 1860–1910. "
136,"Understanding","The Second Industrial Revolution, urbanization, and access to resources contributed to the expansion of the United States during this time period. At the same time, groups migrated to and within the United States creating tensions and adding to the rich culture of the nation. "
137,"5.1.CO","Compare the physical landscape and demographics of the U.S. before and after the Transcontinental Railroad. This indicator was developed to promote inquiry into how the physical landscape of the U.S. changed due to the building of the Transcontinental Railroad. This indicator also promotes inquiry into how human movement and settlement into the American west greatly affected the physical landscape. "
138,"5.1.CE","Examine push- and pull-factors related to immigration and expansion on urban and rural populations during the period. Expansion and This indicator was developed to promote inquiry into why and how various Migration peoples immigrated to the U.S. Furthermore, this indicator was designed to promote inquiry into how these immigrant cultures influenced American culture and society. "
139,"5.1.P","Summarize how the United States’ involvement in the Spanish American War led to increased U.S. economic expansion and imperialism. This indicator was developed to promote inquiry into how the U. "
140,"5.1.CX","Contextualize how the Second Industrial Revolution led to an increased desire for raw materials and the United States involvement in imperialistic efforts and economic expansion. This indicator was developed to promote inquiry into how industrialization evolved in the U.S. and South Carolina during the late 19th century and into the early 20th century. This indicator was also designed to promote Key Standards Concepts inquiry into how poor living and working conditions in urban areas led to the rise of Progressivism in the U.S. "
141,"5.1.CC","Summarize how imperialism and economic expansion impacted the experiences of different groups and shaped American cultural identities. This indicator was developed to promote inquiry into how the economy of the United States grew during the time period. Topics for inquiry may include the impact of population growth on production, working conditions, and the subsequent labor movements to 1910. "
142,"5.1.E","Analyze multiple perspectives on the economic, political, and social effects of western expansion, the Industrial Revolution, and immigration through primary and secondary sources, and evaluate the subsequent changes to the U. "
143,"Standard 2","Demonstrate an understanding of how international events and conditions during the early 20th Century (i.e., 1910–1940) affected the United States and South Carolina. "
144,"Understanding","In the early 20th Century, the economies of the United States and South Carolina experienced a boom-and-bust period. This situation led to significant government intervention in order to stimulate the economy. "
145,"5.2.CO","Compare the cultural and economic impacts of the 1929 Stock Market Crash on the U. "
146,"5.2.CE","Examine the primary causes of World War I and the events which led to U.S. involvement. This indicator was developed to promote inquiry into how the rise of ideologies in Europe led to division and conflict among nations resulting in World War I. Further, inquiry is encouraged through the exploration of the changing position of the U.S. from the beginning of the war in Europe to its eventual involvement. "
147,"5.2.P","Summarize how the role of the federal government expanded during the period. Key Standards Concepts This indicator was developed to promote inquiry into how wartime government activities, the Progressive Movement, and the New Deal represented an expansion of federal power, including attempts to protect citizens. "
148,"5.2.CX","Contextualize the post-war economic climate on the cultural landscape throughout the United States and South Carolina. This indicator was developed to promote inquiry into post World War I changes in the U.S., including the “Roaring Twenties,” the Harlem Renaissance, the role of women outside of the home, and cultural changes for African Americans. "
149,"5.2.CC","Examine the continuities and changes that resulted from New Deal programs and the impact these programs had on various groups throughout the U. "
150,"5.2.E","Evaluate multiple perspectives from the period, including the economic, political, and social impacts of World War I, the 1920s, the Great Depression, and the New Deal using primary and secondary sources. "
151,"Standard 3","Demonstrate an understanding of the economic, political, and social effects of World War II, the Holocaust, and their aftermath (i.e., 1930–1950) on the United States and South Carolina. "
152,"Understanding","Along with the rest of the world, the United States and South Carolina experienced economic instability during this period. As a result, political instability and worldwide conflict consumed the world in the 1940s. America Following World War II, the United States emerged as a world leader through political as a policies and economic growth. "
153,"5.3.CO","Compare the ideologies and policies that led to World War II. This indicator was developed to promote inquiry into the ideologies and policies that led to WWII, with a particular focus on the rise of dictators throughout Europe and Asia. "
